game_id,user_id
45,20
45,17
54,20
63,17
63,18
118,20
126,20
136,20
144,20
137,20
138,20
139,20
136,19
140,20
144,17
148,17
149,17
150,17
151,17
170,17
163,18
164,18
163,24
163,17
168,24
168,20
171,17
380,47
491,20
881,35
885,19
886,19
173,20
180,20
191,20
176,24
477,47
176,20
476,47
191,24
185,20
180,24
374,32
184,17
184,20
379,32
359,32
362,32
184,24
193,20
192,20
411,32
192,19
282,20
282,24
405,32
404,20
263,24
266,20
289,24
287,24
289,20
301,20
321,20
332,20
329,20
328,20
402,20
413,20
202,20
334,19
368,20
414,19
364,20
362,17
361,20
373,20
243,19
373,19
374,19
243,20
394,20
393,20
354,24
369,24
243,24
413,19
413,34
392,20
393,32
418,34
425,20
437,20
438,20
433,20
437,19
440,19
454,20
424,20
447,20
437,24
454,19
455,19
243,33
466,19
465,20
470,20
468,17
460,20
459,19
412,19
459,20
459,17
474,19
476,19
477,19
476,20
474,20
479,19
482,19
483,19
485,19
479,20
485,20
481,20
47,20
480,20
461,20
486,20
461,37
465,37
482,37
478,37
477,37
481,37
485,37
480,37
466,35
468,35
491,24
515,19
485,24
515,24
511,20
496,19
517,40
518,40
492,18
496,18
495,18
500,39
496,20
497,20
533,20
518,39
480,39
380,39
530,20
530,24
530,35
536,19
530,19
530,33
478,20
533,19
496,24
486,19
533,24
552,19
479,33
477,41
556,19
238,19
561,19
556,20
567,20
515,20
483,20
570,20
571,19
572,19
574,19
572,20
530,38
564,20
535,20
478,35
565,19
591,19
280,19
584,19
477,24
474,24
591,20
573,20
609,20
280,17
585,19
427,17
476,17
585,24
644,35
645,20
644,20
608,35
586,35
575,35
570,35
476,35
477,35
645,35
573,35
622,35
645,39
653,19
624,19
657,35
661,20
608,20
664,19
243,18
679,20
572,46
576,19
576,20
688,20
280,20
626,20
626,24
653,20
698,35
607,19
698,19
380,19
644,19
705,19
705,35
626,18
653,35
591,35
718,20
470,19
719,19
717,19
710,46
480,46
644,46
515,46
491,46
607,20
477,23
498,47
480,47
607,24
731,20
664,17
742,17
744,17
656,20
817,35
808,35
811,23
826,20
836,20
808,20
656,47
742,47
797,47
836,47
744,47
243,35
243,47
817,20
610,20
586,20
536,20
822,20
823,20
879,20
880,19
881,19
881,40
479,40
881,39
476,39
644,39
515,39
881,41
827,39
644,40
881,24
606,47
886,35
479,47
742,19
888,35
880,35
655,35
831,35
832,20
890,35
482,20
891,35
893,35
896,35
926,35
654,20
926,20
963,19
969,19
937,19
972,20
913,19
913,20
380,20
922,20
938,20
831,20
963,20
710,20
896,20
886,20
888,20
746,20
937,20
816,20
886,51
881,51
896,19
897,51
888,51
974,20
882,20
883,20
824,20
893,34
969,34
882,34
883,34
827,34
886,34
1064,20
893,20
1137,20
1128,20
1135,20
1137,35
1203,35
1204,35
1073,20
1097,20
1106,20
892,47
1202,39
893,39
890,39
479,39
808,39
1084,20
1119,20
1109,20
1113,20
887,20
573,47
1113,47
1217,20
1216,20
1218,20
1219,20
878,20
1121,20
1203,20
1190,20
1187,20
1140,20
1140,35
1226,20
1224,47
885,20
904,35
1271,20
973,19
1095,20
608,39
1422,19
1009,19
1175,19
1441,20
1444,20
470,46
1453,46
1171,46
1124,46
1106,46
1206,35
1124,35
1463,20
811,19
1267,19
1292,20
890,20
1363,20
1361,20
1345,20
1334,20
1471,19
711,39
483,39
891,39
1392,46
1470,46
974,46
1477,46
884,20
1495,46
1400,46
1259,46
1242,46
847,46
444,46
1495,20
878,35
1497,46
1503,46
1494,20
1461,20
1497,20
1416,35
1498,46
477,46
347,46
285,46
300,46
735,47
1503,47
1517,46
1521,20
1529,46
1549,17
1166,46
1366,46
1101,46
1232,46
1494,46
1512,20
1524,46
1526,46
1528,46
236,46
219,46
129,46
130,46
575,20
1545,20
1545,46
1550,46
888,46
1559,46
1558,46
1087,46
798,46
77,46
61,46
67,46
132,46
135,46
474,23
515,23
491,23
478,53
822,53
746,53
480,53
968,53
477,53
1561,20
482,53
14,46
40,46
491,19
481,19
11,46
42,46
888,19
586,19
1583,20
1582,20
1580,20
1581,20
973,51
1594,46
746,46
937,35
1601,46
1596,46
1412,46
1452,46
1388,46
1311,46
1356,46
1303,46
1133,46
1187,46
1137,46
1131,46
1126,46
1116,46
1113,46
1081,46
1076,46
1080,46
1549,46
1467,47
746,19
480,19
1613,19
1610,19
478,19
478,46
1606,46
1606,19
1606,20
478,17
1618,46
1621,46
561,35
1437,19
1600,19
1545,19
1611,19
1607,19
655,19
1613,20
1594,20
1624,20
655,20
477,20
575,49
1594,19
1552,20
880,20
660,20
881,20
1635,19
1630,19
1637,19
561,20
1631,46
881,46
973,46
817,46
1638,20
481,53
817,53
887,53
1638,46
479,24
973,24
1638,19
881,17
973,17
808,23
610,23
937,51
1658,46
1656,46
1658,19
1662,19
1660,19
660,19
1656,24
1676,24
1677,19
1677,20
1656,20
1670,20
1678,20
1677,35
1684,46
1679,20
1678,71
1679,71
1679,47
561,47
1678,47
561,71
887,71
1083,23
1434,23
1119,23
1109,23
1418,23
491,73
478,74
481,84
481,17
1679,82
479,103
807,93
1704,83
1754,96
1745,96
1151,96
1707,96
1714,96
1080,96
1390,96
1426,96
1438,96
1394,96
1310,96
1311,96
1302,96
1343,96
1191,96
1176,96
1187,96
1173,96
1149,96
1131,96
1702,20
808,93
746,93
1658,83
1743,74
1747,96
1411,96
1159,96
1178,96
1165,96
1154,96
1098,96
679,96
973,98
476,98
491,98
481,98
586,74
808,98
807,17
1769,96
1767,96
1761,96
1416,96
478,96
480,96
1724,35
894,96
807,75
1705,75
1658,20
808,112
1743,20
1771,74
479,74
481,108
476,108
1673,116
478,119
807,117
476,116
1679,117
608,74
480,109
1402,35
1829,74
1771,20
1637,20
1073,47
477,74
812,74
1865,125
1678,19
285,89
1495,117
1741,89
1302,89
1303,89
1163,89
1119,89
1097,89
1888,74
656,74
573,74
828,74
900,74
832,74
480,130
470,132
1896,74
1848,73
478,139
1889,35
808,142
478,144
477,144
812,144
808,145
820,144
476,144
491,144
608,144
1888,144
575,144
645,144
1761,145
192,144
1488,20
807,147
937,117
476,117
476,147
491,117
474,147
478,147
480,147
1694,20
1699,20
1693,20
1707,151
1705,151
1189,151
1390,151
1394,151
1372,151
1347,151
1325,151
1316,151
1109,151
1304,151
1303,151
1419,151
1793,151
1128,151
1137,151
1135,151
1131,151
1119,151
1112,151
1106,151
1083,151
1762,151
1154,151
1781,151
485,151
1893,20
1892,20
1125,74
2169,74
655,74
2170,74
2171,74
2172,74
2173,74
2174,74
2175,74
2176,74
2177,74
2175,37
2177,37
881,160
1622,92
2169,20
891,20
1006,19
2175,20
2177,20
1864,17
1879,17
1696,17
1703,17
1698,17
1191,17
1189,17
1186,17
1181,17
1128,17
1896,35
1009,35
881,163
1770,108
1770,20
476,74
477,124
2231,171
477,171
491,171
2232,171
973,20
1658,171
608,167
575,167
610,167
816,167
1610,20
1893,19
1892,19
1743,174
486,74
1892,46
2240,46
2242,46
880,46
1340,19
1203,19
1893,17
1618,19
1621,19
478,175
1402,20
477,39
2230,20
1893,46
937,46
536,46
479,46
481,46
2092,46
813,46
1889,184
2175,185
2265,74
2267,74
2269,74
880,51
1893,35
2265,35
2233,19
477,188
481,188
820,188
807,188
480,188
2362,46
2168,46
2368,188
2233,20
1673,188
2362,19
2005,192
2372,192
477,135
644,135
608,135
891,135
570,135
1888,135
1896,135
2269,135
741,135
2264,135
2236,135
808,135
575,135
2265,135
2267,135
645,135
1743,135
